state_id,state_name,population
0,Alabama,"5,076,181"
,Alaska,"734,442"
,Arizona,"7,377,566"
,Arkansas,"3,047,704"
,California,"39,142,414"
,Colorado,"5,850,935"
,Connecticut,"3,617,925"
,Delaware,"1,020,625"
,Florida,"22,379,312"
,Georgia,"10,931,805"
,Hawaii,"1,440,359"
,Idaho,"1,944,299"
,Illinois,"12,621,821.00"
,Indiana,"6,844,545.00"
,Iowa,"3,202,820.00"
,Kansas,"2,937,324.00"
,Kentucky,"4,519,233.00"
,Louisiana,"4,593,687.00"
,Maine,"1,390,922.00"
,Maryland,"6,192,440.00"
,Massachusetts,"7,022,468.00"
,Michigan,"10,050,877.00"
,Minnesota,"5,721,621.00"
,Mississippi,"2,941,939.00"
,Missouri,"6,179,414.00"
,Montana,"1,122,095.00"
,Nebraska,"1,972,246.00"
,Nevada,"3,176,116.00"
,New Hampshire,"1,396,678.00"
,New Jersey,"9,295,227.00"
,New Mexico,"2,113,868.00"
,New York,"19,703,747.00"
,North Carolina,"10,710,793.00"
,North Dakota,"781,057"
,Ohio,"11,777,874.00"
,Oklahoma,"4,026,229.00"
,Oregon,"4,247,372.00"
,Pennsylvania,"12,984,990.00"
,Puerto Rico,"3,220,137"
,Rhode Island,"1,099,498.00"
,South Carolina,"5,287,935.00"
,South Dakota,"909,723"
,Tennessee,"7,062,217.00"
,Texas,"30,113,488.00"
,Utah,"3,391,011.00"
,Vermont,"648,142"
,Virginia,"8,683,414.00"
,West Virginia,"1,774,122.00"
,Washington,"7,794,123"
,Wisconsin,"5,903,975"
,Wyoming,"581,978"
